,Name Romaji,Name Native,Name English,Synonyms,Volume Count,Start Date,Start Year,Popularity,Favorites,Source,Genre_One,Genre_Two,Genre_Three,Tag_One,Tag_Two,Tag_Three,Rating Rank,Popularity Rank,Has Anime,Anime Release Date,Name Word Count,Link,Average Rating,Adaptation,Status_Cancelled,Status_Finished,Status_Hiatus,Status_Not Yet Released,Status_Releasing
0,Kuraki Kyuuden no Shisha no Ou,昏き宮殿の死者の王,The King of the Dead at the Dark Palace,"The Undead Lord of the Palace of Darkness
The King of Death at the Dark Palace",3.288627450980392,"Nov 30, 2019",2019.0,337.0,10.0,1,3,7,0,No Tag,No Tag,No Tag,0,0,False,2014.0,6.0,https://anilist.co/manga/115898/Kuraki-Kyuuden-no-Shisha-no-Ou/,77.29166666666667,0.0,0,0,0,0,1
1,Kingdom Hearts Birth by Sleep,キングダムハーツバースバイスリープ,Kingdom Hearts Birth by Sleep,"Something Strange
Best Friends
To the Future",3.0,"Dec 24, 2010",2010.0,336.0,7.0,4,3,2,7,No Tag,No Tag,No Tag,#25 Most Popular 2010,0,False,2014.0,5.0,https://anilist.co/manga/56006/Kingdom-Hearts-Birth-by-Sleep/,75.1923076923077,0.0,0,1,0,0,0
2,Ultimate Antihero,アルティメット・アンチヒーロー,Ultimate Antihero,Ultimate Antihero,4.0,"Oct 2, 2014",2014.0,335.0,3.0,1,3,12,0,No Tag,No Tag,No Tag,0,0,False,2014.0,2.0,https://anilist.co/manga/86585/Ultimate-Antihero/,65.06024096385542,0.0,0,1,0,0,0
3,Tobioriyou to Shiteiru Joshikousei wo Tasuketara Dounaru no ka?,飛び降りようとしている女子高生を助けたらどうなるのか？,Tobioriyou to Shiteiru Joshikousei wo Tasuketara Dounaru no ka?,What Happens If You Saved A High School Girl Who Was About To Jump Off?,3.288627450980392,"Mar 31, 2021",2021.0,335.0,8.0,6,1,6,0,No Tag,No Tag,No Tag,#21 Most Popular 2021,0,False,2014.0,9.0,https://anilist.co/manga/130810/Tobioriyou-to-Shiteiru-Joshikousei-wo-Tasuketara-Dounaru-no-ka/,73.42857142857143,0.0,0,0,0,0,1
4,Yahari Ore no Seishun Rabukome wa Machigatteiru. Ketsu,やはり俺の青春ラブコメはまちがっている。結,Yahari Ore no Seishun Rabukome wa Machigatteiru. Ketsu,"Oregairu Ketsu
My Youth Romantic Comedy Is Wrong, As I Expected. Connection
กะแล้วชีวิตรักวัยรุ่นของผมมันต้องไม่สดใสเลยสักนิด ยุย สตอรี่",3.288627450980392,"Sep 17, 2021",2021.0,333.0,5.0,1,4,1,15,No Tag,No Tag,No Tag,#22 Most Popular 2021,0,False,2014.0,8.0,https://anilist.co/manga/139423/Yahari-Ore-no-Seishun-Rabukome-wa-Machigatteiru-Ketsu/,63.333333333333336,0.0,0,0,0,0,1
5,Izana,誘 —いざな—,Izana,Izana,1.0,"Dec 15, 2014",2014.0,333.0,4.0,1,1,10,12,No Tag,No Tag,No Tag,0,0,False,2014.0,1.0,https://anilist.co/manga/118418/Izana/,77.36842105263158,0.0,0,1,0,0,0
6,Seishun Buta Yarou wa Nightingale no Yume wo Minai,青春ブタ野郎はナイチンゲールの夢を見ない,Seishun Buta Yarou wa Nightingale no Yume wo Minai,"Ao Buta
青ブタ
Seishun Buta Yarou Series
青春ブタ野郎シリーズ",1.0,"Dec 10, 2020",2020.0,333.0,11.0,1,4,10,6,No Tag,No Tag,No Tag,0,0,False,2014.0,9.0,https://anilist.co/manga/145168/Seishun-Buta-Yarou-wa-Nightingale-no-Yume-wo-Minai/,82.0,0.0,0,1,0,0,0
7,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,異世界ゆるり紀行 ～子育てしながら冒険者します～,Isekai Yururi Kikou: Kosodate Shinagara Boukensha Shimasu,Isekai Yururi Kikou ~Raising Children While Being an Adventurer~,3.288627450980392,"Apr 1, 2017",2017.0,332.0,8.0,1,3,2,7,No Tag,No Tag,No Tag,0,0,False,2014.0,7.0,https://anilist.co/manga/100884/Isekai-Yururi-Kikou-Kosodate-Shinagara-Boukensha-Shimasu/,69.64285714285714,0.0,0,0,0,0,1
8,K Side:Black & White,K SIDE:BLACK&WHITE,K Side:Black & White,K - SIDE: Black & White,1.0,"May 21, 2013",2013.0,332.0,4.0,1,12,0,0,No Tag,No Tag,No Tag,0,0,True,2012.0,4.0,https://anilist.co/manga/81769/K-SideBlack--White/,70.73170731707317,1.0,0,1,0,0,0
9,Yahari Ore no Seishun Love Come wa Machigatteiru. Anthology,やはり俺の青春ラブコメはまちがっている。アンソロジー,Yahari Ore no Seishun Love Come wa Machigatteiru. Anthology,"กะแล้วชีวิตรักวัยรุ่นของผมมันต้องไม่สดใสเลยสักนิด แอนโทโลจี
果然我的青春戀愛喜劇搞錯了。短篇小說集",4.0,"Mar 18, 2020",2020.0,331.0,11.0,7,4,6,15,No Tag,No Tag,No Tag,0,0,False,2014.0,9.0,https://anilist.co/manga/124837/Yahari-Ore-no-Seishun-Love-Come-wa-Machigatteiru-Anthology/,78.4,0.0,0,1,0,0,0
10,Isekai Kenkokuki,異世界建国記,Isekai Kenkokuki,Different World Foundation,3.288627450980392,"Aug 30, 2017",2017.0,330.0,8.0,1,3,7,0,No Tag,No Tag,No Tag,0,0,False,2014.0,2.0,https://anilist.co/manga/100107/Isekai-Kenkokuki/,68.38709677419355,0.0,0,0,0,0,1
11,Neechan wa Chuunibyou,姉ちゃんは中二病,My Big Sister Lives in a Fantasy World,เพี้ยนกว่าพี่มีอีกมั้ย,7.0,"Sep 2, 2013",2013.0,329.0,4.0,1,4,6,12,No Tag,No Tag,No Tag,0,0,False,2014.0,3.0,https://anilist.co/manga/97763/Neechan-wa-Chuunibyou/,64.23728813559322,0.0,0,1,0,0,0
12,"Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!?",軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？,"Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!?","When a Gun Nerd Is Reincarnated to a World of Magic
He Established a Harem army with Modern Weapons!?
กันโอตะได้กลับชาติมาเกิดใหม่ในโลกที่มีเวทมนตร์เลยสร้างกองกำลังฮาเร็มพกอาวุธปืนที่ทันสมัยขึ้นมา!?",12.0,"Oct 18, 2014",2014.0,329.0,5.0,1,3,2,4,No Tag,No Tag,No Tag,0,0,False,2014.0,14.0,https://anilist.co/manga/86354/GunOta-ga-Mahou-Sekai-ni-Tensei-shitara-Gendai-Heiki-de-Guntai-Harem-wo-Tsukucchaimashita/,67.14285714285714,0.0,0,1,0,0,0
13,Maniwagatari,真庭語,Maniwagatari,Maniwagatari,1.0,"Feb 1, 2008",2008.0,328.0,1.0,1,3,2,4,No Tag,No Tag,No Tag,#24 Most Popular 2008,0,False,2014.0,1.0,https://anilist.co/manga/50983/Maniwagatari/,74.5,0.0,0,1,0,0,0
14,Ore ga Heroine wo Tasukesugite Sekai ga Little Mokushiroku!?,俺がヒロインを助けすぎて 世界がリトル黙示録!?,I Saved Too Many Girls and Caused the Apocalypse,"Our Heroine is Saved So Much that the World Becomes a Little Apocalypse!?
พระเอก(จำเป็น)ตัวจุ้นวุ่นโลกแตก",16.0,"Jun 1, 2011",2011.0,326.0,2.0,1,7,6,0,No Tag,No Tag,No Tag,0,0,False,2014.0,9.0,https://anilist.co/manga/71699/Ore-ga-Heroine-wo-Tasukesugite-Sekai-ga-Little-Mokushiroku/,65.75,0.0,0,1,0,0,0
15,"S-Rank Monster no ""Behemoth"" dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu",Sランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士（ペット）として暮らしてます,"I'm a ""Behemoth,"" an S-Ranked Monster, but Mistaken for a Cat, I Live as an Elf Girl's Pet","Behemoth’s Pet
I’m an S-Rank ""Behemoth"" Monster but I’m Living as a Knight (Pet) of an Elf Girl",3.288627450980392,"Aug 19, 2017",2017.0,325.0,11.0,1,3,2,4,No Tag,No Tag,No Tag,0,0,False,2014.0,14.0,https://anilist.co/manga/104474/SRank-Monster-no-Behemoth-dakedo-Neko-to-Machigawarete-Elf-Musume-no-Pet-toshite-Kurashitemasu/,62.391304347826086,0.0,0,0,0,0,1
16,GJ-bu,GJ部,GJ-bu,Good Job Club,9.0,"Mar 18, 2010",2010.0,324.0,3.0,1,4,15,0,No Tag,No Tag,No Tag,#26 Most Popular 2010,0,True,2014.0,1.0,https://anilist.co/manga/77811/GJbu/,73.42857142857143,1.0,0,1,0,0,0
17,Suzumiya Haruhi no Fungai,涼宮ハルヒの憤慨,The Indignation of Haruhi Suzumiya,Suzumiya Haruhi no Fungai,1.0,"May 1, 2006",2006.0,323.0,6.0,1,4,9,12,No Tag,No Tag,No Tag,#7 Highest Rated 2006,#15 Most Popular 2006,False,2014.0,4.0,https://anilist.co/manga/145596/Suzumiya-Haruhi-no-Fungai/,78.77358490566037,0.0,0,1,0,0,0
